Name,Party,Votes,Chart,Vote percentage,District
"KEECH, Margaret",ALP,15438,,60.00,Albert
"COYLE, Chris",ONP,1826,,7.10,Albert
"KOLAR, Corey",LIB,7101,,27.60,Albert
"LIVERMORE, Bill",GRN,1364,,5.30,Albert
"BARNARD, Dale",ONP,1433,,5.42,Algester
"STRUTHERS, Karen",ALP,16102,,60.93,Algester
"BRADLEY, Richard",LIB,7303,,27.64,Algester
"CROCKER, Gary",GRN,1587,,6.01,Algester
"MENDIES, Terry",LIB,7534,,30.66,Ashgrove
"FOURAS, Jim",ALP,13093,,53.29,Ashgrove
"STASSE, Mike",GRN,3942,,16.04,Ashgrove
"DELALANDE, Dennis",GRN,1721,,6.83,Aspley
"BARRY, Bonny",ALP,12682,,50.30,Aspley
"NELSON-JONES, Trevor",LIB,10811,,42.88,Aspley
"WELSH, Stephen",LIB,8867,,38.06,Barron River
"WALLS, Denis",GRN,2461,,10.56,Barron River
"CLARK, Lesley",ALP,9849,,42.27,Barron River
"STARR, Peter",ONP,1576,,6.76,Barron River
"RYAN, Andrew",Other,545,,2.34,Barron River
"BEALE, Mike",GRN,1922,,6.99,Beaudesert
"MILLAR, Lesley",ONP,2889,,10.51,Beaudesert
"DELACY, Michael",ALP,9326,,33.93,Beaudesert
"LINGARD, Kev",NPA,13349,,48.57,Beaudesert
"LITTLE, Reg",LIB,6563,,26.14,Brisbane Central
"NIELSEN, Richard",GRN,3095,,12.33,Brisbane Central
"BEATTIE, Peter",ALP,14644,,58.33,Brisbane Central
"SKYRING, Alan",Other,117,,0.47,Brisbane Central
"McAVOY, Adrian",Other,310,,1.23,Brisbane Central
"WYNTER, Coral",Other,376,,1.50,Brisbane Central
"ELLIOTT, Peter J",ONP,1284,,5.07,Broadwater
"HEPBURN, Dean",GRN,1090,,4.30,Broadwater
"GRUMMITT, Margaret",NPA,10474,,41.33,Broadwater
"CROFT, Peta-Kaye (PK)",ALP,12493,,49.30,Broadwater
"PURCELL, Pat",ALP,14031,,60.77,Bulimba
"SNOWDON, Glenn Stuart",LIB,6484,,28.08,Bulimba
