Name,Party,Votes,Chart,Vote percentage,District
"KEECH, Margaret",ALP,12649,,49.98,Albert
"BRUINSMA, Marlee K.",GRN,1792,,7.08,Albert
"FLANNERY, Geoff",Other,1024,,4.05,Albert
"JOHANSON, Andrea",LNP,9841,,38.89,Albert
"CHRISTIAN, Steve",FFP,1147,,4.44,Algester
"CAJDLER, Stan",GRN,1920,,7.43,Algester
"SHORTEN, Anthony",LNP,9174,,35.50,Algester
"STRUTHERS, Karen",ALP,13600,,52.63,Algester
"SAUNDERS, Ian",Other,799,,2.89,Ashgrove
"SPENCER, Ruth Barbara",Other,127,,0.46,Ashgrove
"JONES, Kate",ALP,12629,,45.71,Ashgrove
"HOGG, Robert Paul",GRN,3425,,12.40,Ashgrove
"GRIEVE, Bill",DSQ,355,,1.28,Ashgrove
"McCONNEL, Scott",LNP,10293,,37.26,Ashgrove
"DAVIS, Tracy",LNP,13400,,49.98,Aspley
"VINCENT, Allan",FFP,633,,2.36,Aspley
"BARRY, Bonny",ALP,10940,,40.81,Aspley
"JEREMIJENKO, Peter",GRN,1836,,6.85,Aspley
"RICHARDSON, Wendy",LNP,12025,,43.83,Barron River
"WETTENHALL, Steve",ALP,11864,,43.25,Barron River
"ISAACS, Sarah",GRN,3545,,12.92,Barron River
"McCREADIE, Brett",ALP,7012,,24.84,Beaudesert
"PATA, Russell",DSQ,193,,0.68,Beaudesert
"GEE, Keith",Other,2191,,7.76,Beaudesert
"McLINDON, Aidan",LNP,10700,,37.90,Beaudesert
"HANSON, Pauline",Other,5998,,21.25,Beaudesert
"GRODECKI, Andy",GRN,1970,,6.98,Beaudesert
"SOMERS, Richard",Other,166,,0.59,Beaudesert
"WOOD, Mark",LNP,9042,,37.24,Brisbane Central
"GRACE, Grace",ALP,10238,,42.16,Brisbane Central
"MILLER, Adrian",DSQ,873,,3.60,Brisbane Central
"BOCCABELLA, Anne N.",GRN,4129,,17.00,Brisbane Central
"CROFT, Peta-Kaye (P.K.)",ALP,12090,,46.81,Broadwater
"TURNLEY, Rohan",Other,458,,1.77,Broadwater
"MONAGHAN, Ben",DSQ,646,,2.50,Broadwater
"TOWSON, Richard",LNP,11345,,43.93,Broadwater
"MAIZEY, Graeme",GRN,1289,,4.99,Broadwater
"DICKSON, Steve",LNP,14349,,57.02,Buderim
"STEVENS, Danny",GRN,2075,,8.25,Buderim
"HAWKINS, Laura",ALP,7410,,29.45,Buderim
"TURNER, Cathy",FFP,611,,2.43,Buderim
"HEYME, Neil",DSQ,719,,2.86,Buderim
"FARMER, Di",ALP,13131,,47.74,Bulimba
"WRIGHT, Angela",DSQ,976,,3.55,Bulimba
"DEAN, Angela",GRN,3202,,11.64,Bulimba
"WALKER, Paul",LNP,10197,,37.07,Bulimba
"DEMPSEY, Jack",LNP,14594,,53.71,Bundaberg
"FREEMAN, Phil",ALP,11297,,41.58,Bundaberg
"HALL, Erin",GRN,1281,,4.71,Bundaberg
"PETERSEN, Patricia",Other,1026,,4.07,Bundamba
"NATTRASS, Ric",GRN,1808,,7.17,Bundamba
"HODGES, Cameron",DSQ,411,,1.63,Bundamba
"SMITH, Bevan",FFP,666,,2.64,Bundamba
"INGRAM, Simon",LNP,5846,,23.17,Bundamba
"MILLER, Jo-Ann",ALP,15470,,61.32,Bundamba
"WALKER, Les",ALP,11648,,43.76,Burdekin
"MACDONALD, Maria Constance",GRN,1532,,5.76,Burdekin
"MENKENS, Rosemary",LNP,13438,,50.48,Burdekin
"ELSSMANN, Bryden",DSQ,807,,2.99,Burleigh
"SMITH, Christine",ALP,12637,,46.81,Burleigh
"FREDERICKS, Jeremy",FFP,516,,1.91,Burleigh
"HART, Michael",LNP,10498,,38.88,Burleigh
"LIGHT, Anja",GRN,2065,,7.65,Burleigh
"SPERRING, Ray",Other,476,,1.76,Burleigh
"WYATT, Peter",Other,760,,2.86,Burnett
"PIANTA, Chris",ALP,9206,,34.64,Burnett
"BROMWICH, Robert",Other,232,,0.87,Burnett
"MESSENGER, Rob",LNP,15055,,56.65,Burnett
"WILLIAMS, Bernie",GRN,1324,,4.98,Burnett
"HARROP, Joel",LNP,10689,,39.75,Cairns
"SKIPP, Janice",FFP,943,,3.51,Cairns
"BOYLE, Desley",ALP,12309,,45.78,Cairns
"BRECH, Steve",GRN,2947,,10.96,Cairns
"PULLEN, David",ALP,6636,,23.92,Callide
"PERCY, Camilla",GRN,1064,,3.83,Callide
"SEENEY, Jeff",LNP,16365,,58.98,Callide
"MILDREN, Clare",Other,3680,,13.26,Callide
"CALLEN, Roger",GRN,2444,,9.63,Caloundra
"TUNNICLIFFE, Jody",ALP,9348,,36.85,Caloundra
"McARDLE, Mark",LNP,12697,,50.06,Caloundra
"FOGARTY, John M",DSQ,519,,2.05,Caloundra
"JESSOP, Mike",Other,358,,1.41,Caloundra
"GLEESON, Paul",LNP,10591,,36.91,Capalaba
"CHOI, Michael",ALP,15286,,53.27,Capalaba
"KIRBY, Chad",GRN,2817,,9.82,Capalaba
"KILBURN, Steven",ALP,12431,,43.87,Chatsworth
"COONEY, Jason",GRN,1996,,7.04,Chatsworth
"FURZE, Jason B",DSQ,799,,2.82,Chatsworth
"ZEGENHAGEN, Tony",Other,347,,1.22,Chatsworth
"CALTABIANO, Andrea",LNP,12760,,45.04,Chatsworth
"THOMAS, Randle",DSQ,560,,2.00,Clayfield
"JEREMIJENKO, Andrew",GRN,2988,,10.67,Clayfield
"WONG, Brendan",FFP,433,,1.55,Clayfield
"NICHOLLS, Tim",LNP,13784,,49.24,Clayfield
