Team,variable,value
TOR,FG%,0.458
BOS,FG%,0.461
PHI,FG%,0.468
BRK,FG%,0.448
NYK,FG%,0.447
MIL,FG%,0.476
CHI,FG%,0.447
IND,FG%,0.476
DET,FG%,0.459
CLE,FG%,0.458
MIA,FG%,0.468
ORL,FG%,0.444
CHO,FG%,0.434
WAS,FG%,0.457
ATL,FG%,0.449
DEN,FG%,0.473
OKC,FG%,0.468
UTA,FG%,0.471
POR,FG%,0.463
MIN,FG%,0.441
LAL,FG%,0.48
LAC,FG%,0.466
PHO,FG%,0.468
SAC,FG%,0.462
GSW,FG%,0.438
DAL,FG%,0.461
HOU,FG%,0.451
MEM,FG%,0.468
SAS,FG%,0.472
NOP,FG%,0.465
TOR,3PA,37.0
BOS,3PA,34.5
PHI,3PA,31.6
BRK,3PA,38.1
NYK,3PA,28.4
MIL,3PA,38.9
CHI,3PA,35.1
IND,3PA,28.0
DET,3PA,32.7
CLE,3PA,31.8
MIA,3PA,35.4
ORL,3PA,32.2
CHO,3PA,34.3
WAS,3PA,32.6
ATL,3PA,36.1
DEN,3PA,30.6
OKC,3PA,30.2
UTA,3PA,35.2
POR,3PA,34.1
MIN,3PA,39.7
LAL,3PA,31.6
LAC,3PA,33.5
PHO,3PA,31.8
SAC,3PA,34.9
GSW,3PA,31.3
DAL,3PA,41.3
HOU,3PA,45.3
MEM,3PA,31.5
SAS,3PA,28.5
NOP,3PA,36.9
TOR,3P%,0.374
BOS,3P%,0.364
PHI,3P%,0.368
BRK,3P%,0.343
NYK,3P%,0.337
MIL,3P%,0.355
CHI,3P%,0.348
IND,3P%,0.363
DET,3P%,0.367
CLE,3P%,0.351
MIA,3P%,0.379
ORL,3P%,0.343
CHO,3P%,0.352
WAS,3P%,0.368
ATL,3P%,0.333
DEN,3P%,0.359
OKC,3P%,0.355
UTA,3P%,0.38
POR,3P%,0.377
MIN,3P%,0.336
LAL,3P%,0.349
LAC,3P%,0.371
PHO,3P%,0.358
SAC,3P%,0.364
GSW,3P%,0.334
DAL,3P%,0.367
HOU,3P%,0.345
MEM,3P%,0.347
SAS,3P%,0.376
NOP,3P%,0.37
TOR,2P%,0.519
BOS,2P%,0.522
PHI,2P%,0.524
BRK,2P%,0.524
NYK,2P%,0.499
MIL,2P%,0.567
CHI,2P%,0.511
IND,2P%,0.529
DET,2P%,0.515
CLE,2P%,0.519
MIA,2P%,0.532
ORL,2P%,0.502
CHO,2P%,0.489
WAS,2P%,0.506
ATL,2P%,0.525
DEN,2P%,0.533
OKC,2P%,0.529
UTA,2P%,0.535
POR,2P%,0.514
MIN,2P%,0.521
LAL,2P%,0.552
LAC,2P%,0.522
PHO,2P%,0.529
SAC,2P%,0.527
GSW,2P%,0.495
DAL,2P%,0.541
HOU,2P%,0.557
MEM,2P%,0.532
SAS,2P%,0.516
NOP,2P%,0.528
TOR,FTA,23.2
BOS,FTA,23.2
PHI,FTA,22.4
BRK,FTA,24.1
NYK,FTA,23.5
MIL,FTA,24.7
CHI,FTA,20.5
IND,FTA,19.1
DET,FTA,22.4
CLE,FTA,19.9
MIA,FTA,25.2
ORL,FTA,22.7
CHO,FTA,21.6
WAS,FTA,24.6
ATL,FTA,23.4
DEN,FTA,20.9
OKC,FTA,24.8
UTA,FTA,22.8
POR,FTA,22.1
MIN,FTA,25.4
LAL,FTA,24.3
LAC,FTA,26.3
PHO,FTA,23.8
SAC,FTA,20.3
GSW,FTA,23.2
DAL,FTA,23.8
HOU,FTA,26.1
MEM,FTA,21.8
SAS,FTA,23.4
