Name,Party,Votes,Chart,Vote percentage,District
"PETTINATO, Marella",GRN,1799,,6.19,Albert
"KEECH, Margaret",ALP,17429,,59.95,Albert
"WOODROW, Karen",LIB,8161,,28.07,Albert
"EATON, Jonathan",FFP,1682,,5.79,Albert
"CROCKER, Gary",GRN,2669,,9.41,Algester
"TAN, William",LIB,8124,,28.63,Algester
"STRUTHERS, Karen",ALP,17578,,61.96,Algester
"KIDDLE, Glenn",LIB,8836,,36.52,Ashgrove
"LOVE, Dean",GRN,3835,,15.85,Ashgrove
"JONES, Kate",ALP,11523,,47.63,Ashgrove
"KENT, Bruce",Other,555,,2.16,Aspley
"BARRY, Bonny",ALP,12714,,49.45,Aspley
"WHITE, James",GRN,1710,,6.65,Aspley
"DAVIS, Tracy",LIB,10730,,41.74,Aspley
"WALLS, Denis",GRN,3162,,13.27,Barron River
"WETTENHALL, Steve",ALP,9901,,41.56,Barron River
"TODD, Peter",Other,2517,,10.56,Barron River
"WELSH, Stephen",LIB,8244,,34.60,Barron River
"RAGUSE, Brett",ALP,11413,,39.37,Beaudesert
"GRODECKI, Andy",GRN,3326,,11.47,Beaudesert
"LINGARD, Kev",NPA,14250,,49.16,Beaudesert
"WATERS, Larissa",GRN,4912,,18.28,Brisbane Central
"SKYRING, Alan",Other,145,,0.54,Brisbane Central
"BEATTIE, Peter",ALP,13563,,50.48,Brisbane Central
"WATSON, Sam",Other,500,,1.86,Brisbane Central
"THOMAS, Craig",LIB,7748,,28.84,Brisbane Central
"CARIS, John",LIB,10926,,41.59,Broadwater
"CROFT, Peta-Kaye (PK)",ALP,13442,,51.16,Broadwater
"MILLAR, Lesley",ONP,437,,1.66,Broadwater
"TELUK, Julie-Ann",GRN,1284,,4.89,Broadwater
"CARROLL, Maurie",Other,184,,0.70,Broadwater
"PURCELL, Pat",ALP,13666,,57.57,Bulimba
"BOEHM, David",Other,344,,1.45,Bulimba
"NIELSEN, Howard Robert",GRN,2685,,11.31,Bulimba
"JULIAN-ARMITAGE, Angela",LIB,7043,,29.67,Bulimba
"DEMPSEY, Jack",NPA,11400,,44.58,Bundaberg
"CLEARY, Sonja",ALP,11437,,44.73,Bundaberg
"BACH, Willy",GRN,1002,,3.92,Bundaberg
"McMAHON, Greg",Other,1731,,6.77,Bundaberg
"COLE, Paul",LIB,5503,,22.03,Bundamba
"PRENTICE, James",GRN,1955,,7.83,Bundamba
"VISKERS, Alf",Other,418,,1.67,Bundamba
"MILLER, Jo-Ann",ALP,17101,,68.47,Bundamba
"RODGERS, Steve",ALP,9169,,43.69,Burdekin
"MENKENS, Rosemary",NPA,10104,,48.14,Burdekin
"NICKSON, Amanda",FFP,852,,4.06,Burdekin
"LIGHT, Anja",GRN,863,,4.11,Burdekin
"SMITH, Christine",ALP,14651,,52.45,Burleigh
"HART, Michael",LIB,10537,,37.73,Burleigh
"BEALE, Mike",GRN,2743,,9.82,Burleigh
"MESSENGER, Rob",NPA,14469,,57.57,Burnett
"WILLIAMS, Denise",ALP,10663,,42.43,Burnett
"RICHARDSON, Wendy",LIB,7260,,33.71,Cairns
"MANSFIELD, Michael",Other,1753,,8.14,Cairns
"BOYLE, Desley",ALP,10598,,49.21,Cairns
"SANDERCOCK, Peter Graham",Other,180,,0.84,Cairns
"NOWAKOWSKI, Steven",GRN,1747,,8.11,Cairns
"OLIVER, Mikey",ALP,6527,,27.72,Callide
"SEENEY, Jeff",NPA,17022,,72.28,Callide
"McARDLE, Mark F.",LIB,13638,,49.33,Caloundra
"MOOR, Tony",ALP,11133,,40.27,Caloundra
"NORRIS, Dave",GRN,2875,,10.40,Caloundra
"CHOI, Michael",ALP,14447,,59.14,Capalaba
"THOMAS, Greg",GRN,2775,,11.36,Capalaba
"SYMONS, Trish",LIB,7207,,29.50,Capalaba
"SCOTT, Bruce",ALP,6468,,38.95,Charters Towers
"KNUTH, Shane",NPA,10136,,61.05,Charters Towers
"CALTABIANO, Michael",LIB,12909,,46.10,Chatsworth
"JENKINS, Elissa",GRN,2349,,8.39,Chatsworth
"BOMBOLAS, Chris",ALP,12742,,45.51,Chatsworth
"WELLS, Justin N.",GRN,2419,,10.30,Clayfield
"GRADWELL, Brad",Other,720,,3.06,Clayfield
"ERIKSEN, Erik Olaf",Other,171,,0.73,Clayfield
"CLARK, Liddy",ALP,9335,,39.74,Clayfield
"NICHOLLS, Tim",LIB,10847,,46.17,Clayfield
"THOMAS, Robyn",GRN,2218,,8.75,Cleveland
"TRIM, Andrew",LIB,10545,,41.60,Cleveland
"BOESE, Shane",Other,1830,,7.22,Cleveland
"WEIGHTMAN, Phil",ALP,10754,,42.43,Cleveland
"O'BRIEN, Jason",ALP,9806,,57.77,Cook
"ST. JOHN-WOOD, Neville",GRN,1767,,10.41,Cook
"SCOTT, Peter",NPA,5400,,31.82,Cook
"COPELAND, Stuart",NPA,14189,,57.06,Cunningham
"HOLLIDAY, Nick",ALP,7027,,28.26,Cunningham
"FINDLAY, Peter Charles",FFP,2351,,9.45,Cunningham
"MULLER, Rian",GRN,1299,,5.22,Cunningham
"LIGHT, Inge",GRN,2461,,9.44,Currumbin
"STUCKEY, Jann",LIB,12480,,47.85,Currumbin
"RIORDAN, Michael",ALP,11139,,42.71,Currumbin
"NELSON, David",ALP,6161,,26.42,Darling Downs
"HOPPER, Ray",NPA,13883,,59.54,Darling Downs
"TOTENHOFER, David",FFP,3273,,14.04,Darling Downs
"HALLETT, Bruce",GRN,2015,,7.83,Everton
"SHUTTLEWORTH, Dale",FFP,1823,,7.08,Everton
"KING, Ken",LIB,8511,,33.08,Everton
"WELFORD, Rod",ALP,13382,,52.01,Everton
"WHITE, Mark A",FFP,1991,,7.12,Ferny Grove
"CLARK, Di",GRN,3236,,11.58,Ferny Grove
"WILSON, Geoff",ALP,14378,,51.44,Ferny Grove
"PETTERSON, James",LIB,8347,,29.86,Ferny Grove
"ENGWICHT, John",NPA,6639,,31.17,Fitzroy
"PEARCE, Jim",ALP,13617,,63.94,Fitzroy
"FOSTER, David",Other,1041,,4.89,Fitzroy
"DOUGLAS, Alex",NPA,12223,,42.91,Gaven
"GRAY, Phil",ALP,13715,,48.15,Gaven
"RYMAN, Glen",GRN,2545,,8.94,Gaven
"TODD, John",NPA,1596,,6.19,Gladstone
"TREVOR, (CT) Chris",ALP,11956,,46.40,Gladstone
"CUNNINGHAM, Liz",Other,12215,,47.41,Gladstone
"CALLEN, Roger",GRN,2966,,10.69,Glass House
"MALE, Carolyn",ALP,13418,,48.37,Glass House
"PIVA, Ken",NPA,9834,,35.45,Glass House
"BLOWES, Justin",FFP,1524,,5.49,Glass House
"ROSIN, Darryl",GRN,3108,,12.63,Greenslopes
