Name,Party,Votes,Chart,Vote percentage,District
"BOOTHMAN, Mark",LNP,13597,,43.13, Albert 
"BEST, Amanda",FFP,1434,,4.55, Albert 
"MCMAHON, Melissa",ALP,11145,,35.35, Albert 
"CAJDLER, Jane",GRN,1923,,6.10, Albert 
"BREWSTER, Blair",PUP,3428,,10.87, Albert 
"SHORTEN, Anthony",LNP,11247,,39.56, Algester 
"WOLF, Susan",GRN,2056,,7.23, Algester 
"FORSHAW, Kevin",Other,1037,,3.65, Algester 
"ENOCH, Leeanne",ALP,14089,,49.56, Algester 
"CICCHINI, Connie",Other,279,,0.93, Ashgrove 
"NEWMAN, Campbell",LNP,13125,,43.63, Ashgrove 
"JEREMIJENKO, Peter",Other,261,,0.87, Ashgrove 
"HOGG, Robert",GRN,3047,,10.13, Ashgrove 
"JONES, Kate",ALP,13372,,44.45, Ashgrove 
"CLOTHIER, Noel",GRN,2663,,9.39, Aspley 
"DAVIS, Tracy",LNP,14868,,52.41, Aspley 
"DALLASTON, Gayle",ALP,10835,,38.20, Aspley 
"CASTLEY-WRIGHT, Noel",GRN,3392,,10.18, Barron River 
"SCHEBELLA, Andrew",PUP,2937,,8.81, Barron River 
"CRAWFORD, Craig",ALP,13138,,39.41, Barron River 
"TROUT, Michael",LNP,13866,,41.60, Barron River 
"HOHENHAUS, Kay",ALP,9281,,29.20, Beaudesert 
"ISHAAC, Adele",PUP,1989,,6.26, Beaudesert 
"AGNOLETTO, Pietro",GRN,2613,,8.22, Beaudesert 
"KRAUSE, Jon",LNP,15086,,47.47, Beaudesert 
"FREDERICKS, Jeremy",FFP,668,,2.10, Beaudesert 
"BOWYER, Robert",ONP,2145,,6.75, Beaudesert 
"JONES, Kai",Other,815,,2.83, Brisbane Central 
"GRACE, Grace",ALP,10590,,36.77, Brisbane Central 
"LOVEJOY, Kirsten",GRN,5355,,18.59, Brisbane Central 
"CAVALLUCCI, Robert",LNP,12042,,41.81, Brisbane Central 
"KWON, Daniel",GRN,2145,,7.52, Broadwater 
"JAVANMARD, Amin-Reza",Other,252,,0.88, Broadwater 
"POLLOCK, Phil",ONP,1061,,3.72, Broadwater 
"TOLAND, Penny",ALP,8844,,31.01, Broadwater 
"SOKOLOV, Gueorgui",PUP,1696,,5.95, Broadwater 
"BARTON, Verity",LNP,13537,,47.46, Broadwater 
"BALLANTYNE, Stuart",FFP,988,,3.46, Broadwater 
"HUGHES, Elaine",ALP,6627,,22.80, Buderim 
"ETHERIDGE, Susan",GRN,3366,,11.58, Buderim 
"LAZARUS, Tess",PUP,3781,,13.01, Buderim 
"DICKSON, Steve",LNP,15297,,52.62, Buderim 
"DILLAWAY, Aaron",LNP,12755,,41.86, Bulimba 
"FARMER, Di",ALP,14539,,47.72, Bulimba 
"HALE, David",GRN,3173,,10.41, Bulimba 
"ANDERSON, Meg",GRN,1112,,4.14, Bundaberg 
"FREUDENBERG, Richard",Other,746,,2.78, Bundaberg 
"DEMPSEY, Jack",LNP,11128,,41.45, Bundaberg 
"BROWN, Robert",PUP,3208,,11.95, Bundaberg 
"DONALDSON, Leanne",ALP,10654,,39.68, Bundaberg 
"MILLER, Jo-Ann",ALP,20413,,61.20, Bundamba 
"GREENWOOD, Ava",GRN,2732,,8.19, Bundamba 
"FENTON, Stephen",LNP,8204,,24.60, Bundamba 
"HARRIS, Luke",FFP,2007,,6.02, Bundamba 
"DAVISON, BJ",Other,2306,,8.18, Burdekin 
"ISLES, Steven",KAP,3396,,12.05, Burdekin 
"ZYLA, Angela",ALP,7522,,26.70, Burdekin 
"JOHNSON, Belinda",ONP,1305,,4.63, Burdekin 
"LAST, Dale",LNP,10510,,37.30, Burdekin 
"WARLAND, Jacinta",PUP,2330,,8.27, Burdekin 
"COLLINS, Lindy",GRN,807,,2.86, Burdekin 
"HART, Michael",LNP,13784,,46.67, Burleigh 
"POWER, Jane",GRN,3108,,10.52, Burleigh 
"BAYNES, Susan",FFP,1167,,3.95, Burleigh 
"MAC ANALLY, James",PUP,2299,,7.78, Burleigh 
