Name,Team,Number,Year
Quinn Buckner,MIL,21,1981
Mack Calvin,CLE,21,1981
Michael Cooper,LAL,21,1981
World B.,GSW,21,1981
Chad Kinch,DAL,21,1981
Bob McAdoo,NJN,21,1981
Truck Robinson,PHO,21,1981
Campy Russell,NYK,21,1981
Sidney Wicks,SDC,21,1981
Don Collins,WSB,22,1981
John Drew,ATL,22,1981
Larry Drew,DET,22,1981
Gus Gerard,SAS,22,1981
Glen Gondrezick,DEN,22,1981
Bill Hanzlik,SEA,22,1981
Johnny High,PHO,22,1981
Keith McCord,WSB,22,1981
Sonny Parker,GSW,22,1981
Stan Pietkiewicz,SDC,22,1981
Andrew Toney,PHI,22,1981
Jan van,NJN,22,1981
Mike Bratz,CLE,23,1981
Joe Bryant,SDC,23,1981
T.R. Dunn,DEN,23,1981
Roy Hamilton,POR,23,1981
Tony Jackson,LAL,23,1981
Ollie Mack,CHI,23,1981
Steve Mix,PHI,23,1981
Calvin Murphy,HOU,23,1981
John Williamson,WSB,23,1981
Ron Boone,UTA,24,1981
Butch Carter,LAL,24,1981
Gar Heard,SDC,24,1981
Armond Hill,SEA,24,1981
Dennis Johnson,PHO,24,1981
George Johnson,IND,24,1981
Bobby Jones,PHI,24,1981
John Lambert,KCK,24,1981
Moses Malone,HOU,24,1981
Reggie Theus,CHI,24,1981
Bill Cartwright,NYK,25,1981
Earl Cureton,PHI,25,1981
Alan Hardy,LAL,25,1981
Billy Knight,IND,25,1981
Mitch Kupchak,WSB,25,1981
Tom LaGarde,DAL,25,1981
John Long,DET,25,1981
Billy McKinney,UTA,25,1981
Tom Owens,POR,25,1981
Dave Robisch,DEN,25,1981
Coby Dietrick,CHI,26,1981
John Johnson,SEA,27,1981
,,28,1981
,,29,1981
M.L. Carr,BOS,30,1981
Paul Griffin,SAS,30,1981
Bob Gross,POR,30,1981
Bernard King,GSW,30,1981
Allen Leavell,HOU,30,1981
Ron Lee,DET,30,1981
George McGinnis,IND,30,1981
Dick Miller,UTA,30,1981
Mike Mitchell,CLE,30,1981
Wally Rank,SDC,30,1981
Tree Rollins,ATL,30,1981
Cedric Maxwell,BOS,31,1981
Swen Nater,SDC,31,1981
Mike O'Koren,NJN,31,1981
Billy Reid,GSW,31,1981
Kevin Restani,SAS,31,1981
DeWayne Scales,NYK,31,1981
Richard Washington,DAL,31,1981
Sam Worthen,CHI,31,1981
Darrell Allums,DAL,32,1981
Fred Brown,SEA,32,1981
Rickey Brown,GSW,32,1981
Kenny Carr,CLE,32,1981
Mike Harper,POR,32,1981
Magic Johnson,LAL,32,1981
Reggie Johnson,SAS,32,1981
Greg Kelser,DET,32,1981
Kevin McHale,BOS,32,1981
Dan Roundfield,ATL,32,1981
James Wilkes,CHI,32,1981
Bill Willoughby,HOU,32,1981
Brian Winters,MIL,32,1981
Kareem Abdul-Jabbar,LAL,33,1981
Alvan Adams,PHO,33,1981
Mel Bennett,UTA,33,1981
Larry Bird,BOS,33,1981
Dave Britton,WSB,33,1981
Keith Herron,DET,33,1981
Andre McCarter,WSB,33,1981
Jim McElroy,ATL,33,1981
Calvin Natt,POR,33,1981
Jim Spanarkel,DAL,33,1981
David Thompson,DEN,33,1981
Jerome Whitehead,SDC,33,1981
Michael Wiley,SAS,33,1981
Bob Wilkerson,CHI,33,1981
Sly Williams,NYK,33,1981
Austin Carr,WSB,34,1981
Jacky Dorsey,SEA,34,1981
Mike Glenn,NYK,34,1981
Dave Greenwood,CHI,34,1981
Cedrick Hordges,DEN,34,1981
Myles Patrick,LAL,34,1981
Tony Price,SDC,34,1981
John Shumate,SEA,34,1981
Jim Spanarkel,DAL,34,1981
Rory Sparrow,NJN,34,1981
Reggie Carter,NYK,35,1981
Don Ford,CLE,35,1981
Kevin Grevey,WSB,35,1981
Darrell Griffith,UTA,35,1981
Phil Hubbard,DET,35,1981
Kim Hughes,DEN,35,1981
Larry Kenon,CHI,35,1981
Bill Mayfield,GSW,36,1981
,,37,1981
,,38,1981
,,39,1981
Jim Brewer,LAL,40,1981
Wayne Cooper,UTA,40,1981
Dave Corzine,SAS,40,1981
James Donaldson,SEA,40,1981
Terry Duerod,BOS,40,1981
James Edwards,IND,40,1981
Walter Jordan,CLE,40,1981
Mike Niles,PHO,40,1981
Ricky Sobers,CHI,40,1981
Marvin Webster,NYK,40,1981
Len Elmore,MIL,41,1981
Bill Laimbeer,CLE,41,1981
Sam Pellom,ATL,41,1981
Terry Tyler,DET,41,1981
Wes Unseld,WSB,41,1981
Greg Ballard,WSB,42,1981
Mike Bantom,IND,42,1981
Harvey Catchings,MIL,42,1981
Don Collins,ATL,42,1981
Ron Davis,SDC,42,1981
Larry Demic,NYK,42,1981
Terry Duerod,DAL,42,1981
Chris Ford,BOS,42,1981
Mike Gminski,NJN,42,1981
Edgar Jones,NJN,42,1981
Wayne Robinson,DET,42,1981
John Stroud,HOU,42,1981
Ronnie Valentine,DEN,42,1981
Wally Walker,SEA,42,1981
Kermit Washington,POR,42,1981
Monti Davis,DAL,43,1981
Tony Fuller,DET,43,1981
Gerald Henderson,BOS,43,1981
Mickey Johnson,MIL,43,1981
Stan Pietkiewicz,DAL,43,1981
James Ray,DEN,43,1981
Jack Sikma,SEA,43,1981
Mychal Thompson,POR,43,1981
Hawkeye Whitney,KCK,43,1981
Allan Bristow,UTA,44,1981
Art Collins,ATL,44,1981
Monti Davis,PHI,44,1981
George Gervin,SAS,44,1981
Kim Hughes,CLE,44,1981
Dan Issel,DEN,44,1981
Kevin Kunnert,POR,44,1981
Sam Lacey,KCK,44,1981
Scott Lloyd,DAL,44,1981
Rick Mahorn,WSB,44,1981
Dick Miller,IND,44,1981
Paul Mokeski,DET,44,1981
Clifford Ray,GSW,44,1981
Cliff Robinson,NJN,44,1981
Paul Westphal,SEA,44,1981
Mike Woodson,NYK,44,1981
Marty Byrnes,DAL,45,1981
Jeff Cook,PHO,45,1981
Geoff Crompton,POR,45,1981
Eric Fernsten,BOS,45,1981
Clemon Johnson,IND,45,1981
Jawann Oldham,DEN,45,1981
Purvis Short,GSW,45,1981
Rudy Tomjanovich,HOU,45,1981
,,46,1981
,,47,1981
,,48,1981
,,49,1981
Norman Black,DET,50,1981
Lee Johnson,DET,50,1981
Joel Kramer,PHO,50,1981
Edmund Lawrence,DET,50,1981
Joe Meriweather,KCK,50,1981
Ben Poquette,UTA,50,1981
Robert Reid,HOU,50,1981
Bill Robinzine,CLE,50,1981
Reggie King,KCK,51,1981
Ralph Drollinger,DAL,52,1981
George Johnson,SAS,52,1981
Brett Vroman,UTA,52,1981
Jerome Whitehead,CLE,52,1981
Jamaal Wilkes,LAL,52,1981
Darryl Dawkins,PHI,53,1981
Artis Gilmore,CHI,53,1981
Clarence Kea,DAL,53,1981
Rich Kelley,PHO,53,1981
Paul Mokeski,DET,53,1981
Mark Olberding,SAS,53,1981
Rick Robey,BOS,53,1981
Jeff Wilkins,UTA,53,1981
Kent Benson,DET,54,1981
Bob Elliott,NJN,54,1981
Mark Landsberger,LAL,54,1981
Tom McMillen,ATL,54,1981
Bill Robinzine,DAL,54,1981
Jerome Whitehead,DAL,54,1981
Louis Orr,IND,55,1981
Kiki Vandeweghe,DEN,55,1981
,,56,1981
,,57,1981
,,58,1981
,,59,1981
,,60,1981
,,61,1981
,,62,1981
,,63,1981
,,64,1981
,,65,1981
,,66,1981
,,67,1981
,,68,1981
,,69,1981
,,70,1981
,,71,1981
,,72,1981
,,73,1981
,,74,1981
,,75,1981
,,76,1981
,,77,1981
,,78,1981
,,79,1981
,,80,1981
,,81,1981
,,82,1981
,,83,1981
,,84,1981
,,85,1981
,,86,1981
,,87,1981
,,88,1981
,,89,1981
,,90,1981
,,91,1981
,,92,1981
,,93,1981
,,94,1981
,,95,1981
,,96,1981
,,97,1981
,,98,1981
,,99,1981
Orlando Woolridge,CHI,0,1982
Charlie Criss,SDC,1,1982
Phil Ford,KCK,1,1982
Kenny Higgs,DEN,1,1982
Wes Matthews,ATL,1,1982
Foots Walker,NJN,1,1982
Gus Williams,SEA,1,1982
Junior Bridgeman,MIL,2,1982
Joe Barry,GSW,2,1982
Alex English,DEN,2,1982
Rory Sparrow,ATL,2,1982
Eddie Johnson,ATL,3,1982
Greg Kelser,SEA,3,1982
Jeff Lamp,POR,3,1982
Adrian Dantley,UTA,4,1982
Kyle Macy,PHO,4,1982
Sidney Moncrief,MIL,4,1982
Jim Paxson,POR,4,1982
Clint Richardson,PHI,4,1982
Al Wood,SDC,4,1982
David Burns,DEN,5,1982
Mike Evans,MIL,5,1982
Eddie Jordan,LAL,5,1982
John Lucas,WSB,5,1982
Billy Paultz,HOU,5,1982
Robert Smith,MIL,5,1982
Pat Cummings,MIL,6,1982
Walter Davis,PHO,6,1982
Julius Erving,PHI,6,1982
Tom Henderson,HOU,6,1982
Tiny Archibald,BOS,7,1982
Dudley Bradley,PHO,7,1982
Michael Brooks,SDC,7,1982
Scott May,MIL,7,1982
Billy McKinney,DEN,7,1982
Kelly Tripucka,DET,7,1982
Al Wood,ATL,7,1982
Jim Brewer,LAL,8,1982
Eddie Johnson,KCK,8,1982
Marques Johnson,MIL,8,1982
John McCullough,PHO,8,1982
Jackie Robinson,CHI,8,1982
Lonnie Shelton,SEA,8,1982
Scott Wedman,CLE,8,1982
Jim Chones,WSB,9,1982
Kenny Dennard,KCK,9,1982
Mickey Dillard,CLE,9,1982
Lionel Hollins,PHI,9,1982
Randy Smith,NYK,9,1982
Otis Birdsong,NJN,10,1982
Ron Brewer,SAS,10,1982
Don Buse,IND,10,1982
Maurice Cheeks,PHI,10,1982
Bob Dandridge,MIL,10,1982
Mike Dunleavy,HOU,10,1982
Glenn Hagan,DET,10,1982
Joe Hassett,GSW,10,1982
Steve Hawes,ATL,10,1982
Norm Nixon,LAL,10,1982
John Roche,DEN,10,1982
Darnell Valentine,POR,10,1982
James Hardy,UTA,11,1982
Tracy Jackson,CHI,11,1982
Caldwell Jones,PHI,11,1982
Major Jones,HOU,11,1982
Bob McAdoo,LAL,11,1982
Cliff Robinson,KCK,11,1982
Craig Shelton,ATL,11,1982
Phil Smith,SDC,11,1982
Isiah Thomas,DET,11,1982
Raymond Townsend,IND,11,1982
Billy Ray,POR,12,1982
Butch Carter,IND,12,1982
Darwin Cook,NJN,12,1982
Mike Gale,GSW,12,1982
Ronnie Lester,CHI,12,1982
Carlos Terry,WSB,12,1982
John Douglas,SDC,13,1982
Leon Douglas,KCK,13,1982
Dwight Jones,CHI,13,1982
James Silas,CLE,13,1982
Larry Smith,GSW,13,1982
Ray Williams,NJN,13,1982
Charlie Criss,ATL,14,1982
Franklin Edwards,PHI,14,1982
Rickey Green,UTA,14,1982
Brad Holland,WSB,14,1982
Lowes Moore,CLE,14,1982
Mike Newlin,NYK,14,1982
Kelvin Ransey,POR,14,1982
Alvin Scott,PHO,14,1982
Jerry Sichting,IND,14,1982
Ricky Sobers,CHI,14,1982
Brian Taylor,SDC,14,1982
Jim Brogan,SDC,15,1982
Brad Davis,DAL,15,1982
Keith Herron,CLE,15,1982
Brad Holland,MIL,15,1982
Frank Johnson,WSB,15,1982
Vinnie Johnson,SEA,15,1982
Roger Phegley,CLE,15,1982
Ed Rains,SAS,15,1982
Larry Wright,DET,15,1982
Johnny Davis,IND,16,1982
Bob Lanier,MIL,16,1982
Ollie Mack,DAL,17,1982
John Duren,UTA,18,1982
Ollie Johnson,PHI,18,1982
Lorenzo Romar,GSW,18,1982
,,19,1982
Dennis Awtrey,POR,20,1982
James Bailey,SEA,20,1982
Gene Banks,SAS,20,1982
Ernie Grunfeld,KCK,20,1982
Geoff Huston,CLE,20,1982
Micheal Ray,NYK,20,1982
Phil Smith,SEA,20,1982
Kevin Stacom,MIL,20,1982
Jan van,NJN,20,1982
Freeman Williams,SDC,20,1982
Garry Witts,WSB,20,1982
Carl Bailey,POR,21,1982
Quinn Buckner,MIL,21,1982
Roger Burkman,CHI,21,1982
David Burns,NJN,21,1982
Michael Cooper,LAL,21,1982
World B.,GSW,21,1982
Roger Phegley,SAS,21,1982
Truck Robinson,PHO,21,1982
Campy Russell,NYK,21,1982
Michael Wiley,SDC,21,1982
Rolando Blackman,DAL,22,1982
Ray Blume,CHI,22,1982
Tom Chambers,SDC,22,1982
Don Collins,WSB,22,1982
John Drew,ATL,22,1982
Larry Drew,KCK,22,1982
Glen Gondrezick,DEN,22,1982
Bill Hanzlik,SEA,22,1982
Jeff Judkins,DET,22,1982
Larry Nance,PHO,22,1982
Carl Nicks,UTA,22,1982
Sonny Parker,GSW,22,1982
Andrew Toney,PHI,22,1982
Mike Bratz,SAS,23,1982
Allan Bristow,DAL,23,1982
Rickey Brown,GSW,23,1982
Joe Bryant,SDC,23,1982
Charles Davis,WSB,23,1982
T.R. Dunn,DEN,23,1982
Maurice Lucas,NYK,23,1982
Steve Mix,PHI,23,1982
Calvin Murphy,HOU,23,1982
Danny Vranes,SEA,23,1982
Mark Aguirre,DAL,24,1982
Alan Hardy,DET,24,1982
Spencer Haywood,WSB,24,1982
Armond Hill,SEA,24,1982
Dennis Johnson,PHO,24,1982
George Johnson,IND,24,1982
Bobby Jones,PHI,24,1982
John Lambert,SAS,24,1982
Moses Malone,HOU,24,1982
Kevin Restani,CLE,24,1982
Danny Schayes,UTA,24,1982
Reggie Theus,CHI,24,1982
Bill Cartwright,NYK,25,1982
Earl Cureton,PHI,25,1982
Billy Knight,IND,25,1982
Tom LaGarde,DAL,25,1982
John Long,DET,25,1982
Dave Robisch,DEN,25,1982
Coby Dietrick,CHI,26,1982
Tom Owens,IND,26,1982
John Johnson,SEA,27,1982
,,28,1982
,,29,1982
Alex Bradley,NYK,30,1982
M.L. Carr,BOS,30,1982
Paul Griffin,SAS,30,1982
Bob Gross,POR,30,1982
Bernard King,GSW,30,1982
Allen Leavell,HOU,30,1982
Ron Lee,DET,30,1982
Kevin Loder,KCK,30,1982
George McGinnis,IND,30,1982
Kevin McKenna,LAL,30,1982
Mike Mitchell,CLE,30,1982
Mark Radford,SEA,30,1982
Tree Rollins,ATL,30,1982
Jim Smith,SDC,30,1982
Ray Tolbert,NJN,30,1982
Cedric Maxwell,BOS,31,1982
Swen Nater,SDC,31,1982
Mike O'Koren,NJN,31,1982
Kurt Rambis,LAL,31,1982
Kevin Restani,SAS,31,1982
DeWayne Scales,NYK,31,1982
Pete Verhoeven,POR,31,1982
Jay Vincent,DAL,31,1982
Richard Washington,CLE,31,1982
Sam Worthen,UTA,31,1982
Fred Brown,SEA,32,1982
Kenny Carr,DET,32,1982
Mike Harper,POR,32,1982
Magic Johnson,LAL,32,1982
Reggie Johnson,SAS,32,1982
Greg Kelser,DET,32,1982
Lewis Lloyd,GSW,32,1982
Kevin McHale,BOS,32,1982
Dan Roundfield,ATL,32,1982
James Wilkes,CHI,32,1982
Herb Williams,IND,32,1982
Bill Willoughby,HOU,32,1982
Brian Winters,MIL,32,1982
Kareem Abdul-Jabbar,LAL,33,1982
Alvan Adams,PHO,33,1982
James Bailey,NJN,33,1982
Larry Bird,BOS,33,1982
Steve Johnson,KCK,33,1982
Jim McElroy,ATL,33,1982
Calvin Natt,POR,33,1982
David Thompson,DEN,33,1982
Ray Tolbert,SEA,33,1982
Elston Turner,DAL,33,1982
Jerome Whitehead,SDC,33,1982
Bob Wilkerson,CLE,33,1982
Sam Williams,GSW,33,1982
Sly Williams,NYK,33,1982
Howard Wood,UTA,33,1982
Mike Glenn,ATL,34,1982
Dave Greenwood,CHI,34,1982
Cedrick Hordges,DEN,34,1982
Clay Johnson,LAL,34,1982
Rock Lee,SDC,34,1982
Mike Mitchell,SAS,34,1982
Jim Spanarkel,DAL,34,1982
Charles Bradley,BOS,35,1982
Reggie Carter,NYK,35,1982
Craig Dykema,PHO,35,1982
Don Ford,CLE,35,1982
Kevin Grevey,WSB,35,1982
Darrell Griffith,UTA,35,1982
Phil Hubbard,DET,35,1982
Larry Kenon,CHI,35,1982
Larry Spriggs,HOU,35,1982
,,36,1982
,,37,1982
,,38,1982
,,39,1982
Dave Corzine,SAS,40,1982
James Donaldson,SEA,40,1982
Terry Duerod,BOS,40,1982
James Edwards,CLE,40,1982
Pétur Guðmundsson,POR,40,1982
Sam Lacey,NJN,40,1982
Bill Laimbeer,DET,40,1982
Rudy Macklin,ATL,40,1982
Mike McGee,LAL,40,1982
Kurt Nimphius,DAL,40,1982
Marvin Webster,NYK,40,1982
Mitch Kupchak,LAL,41,1982
Bill Laimbeer,CLE,41,1982
Sam Pellom,ATL,41,1982
Terry Tyler,DET,41,1982
Greg Ballard,WSB,42,1982
Mike Bantom,PHI,42,1982
Harvey Catchings,MIL,42,1982
Ron Davis,SDC,42,1982
Larry Demic,NYK,42,1982
Chris Ford,BOS,42,1982
Mike Gminski,NJN,42,1982
Edgar Jones,DET,42,1982
Wally Walker,SEA,42,1982
Kermit Washington,POR,42,1982
Mike Woodson,NJN,42,1982
Bobby Cattage,UTA,43,1982
Wayne Cooper,DAL,43,1982
Steve Hayes,SAS,43,1982
Gerald Henderson,BOS,43,1982
Mickey Johnson,MIL,43,1982
Toby Knight,NYK,43,1982
James Ray,DEN,43,1982
Jeff Ruland,WSB,43,1982
Jack Sikma,SEA,43,1982
Mychal Thompson,POR,43,1982
Hawkeye Whitney,KCK,43,1982
Rich Yonakor,SAS,43,1982
Danny Ainge,BOS,44,1982
Joe Cooper,NJN,44,1982
Len Elmore,NJN,44,1982
George Gervin,SAS,44,1982
Elvin Hayes,HOU,44,1982
Dan Issel,DEN,44,1982
Reggie Johnson,CLE,44,1982
Kevin Kunnert,POR,44,1982
Sam Lacey,KCK,44,1982
Scott Lloyd,DAL,44,1982
Rick Mahorn,WSB,44,1982
Hank McDowell,GSW,44,1982
Paul Mokeski,DET,44,1982
Paul Westphal,NYK,44,1982
Jeff Cook,PHO,45,1982
Hollis Copeland,NYK,45,1982
Eric Fernsten,BOS,45,1982
Clemon Johnson,IND,45,1982
Purvis Short,GSW,45,1982
Jeff Wilkins,UTA,45,1982
,,46,1982
,,47,1982
,,48,1982
,,49,1982
Joel Kramer,PHO,50,1982
Joe Meriweather,KCK,50,1982
Ben Poquette,UTA,50,1982
Robert Reid,HOU,50,1982
Reggie King,KCK,51,1982
Jawann Oldham,HOU,51,1982
Mel Bennett,CLE,52,1982
Brad Branson,CLE,52,1982
Steve Hayes,DET,52,1982
George Johnson,SAS,52,1982
Bill Robinzine,UTA,52,1982
Jamaal Wilkes,LAL,52,1982
Buck Williams,NJN,52,1982
Darryl Dawkins,PHI,53,1982
Artis Gilmore,CHI,53,1982
Clarence Kea,DAL,53,1982
Rich Kelley,PHO,53,1982
Alton Lister,MIL,53,1982
Mark Olberding,SAS,53,1982
Rick Robey,BOS,53,1982
Kent Benson,DET,54,1982
Geoff Crompton,MIL,54,1982
Mark Landsberger,LAL,54,1982
Tom McMillen,ATL,54,1982
Albert King,NJN,55,1982
Louis Orr,IND,55,1982
Kiki Vandeweghe,DEN,55,1982
,,56,1982
,,57,1982
,,58,1982
,,59,1982
,,60,1982
,,61,1982
,,62,1982
,,63,1982
,,64,1982
,,65,1982
,,66,1982
,,67,1982
,,68,1982
,,69,1982
,,70,1982
,,71,1982
,,72,1982
,,73,1982
,,74,1982
,,75,1982
,,76,1982
,,77,1982
,,78,1982
,,79,1982
,,80,1982
,,81,1982
,,82,1982
,,83,1982
,,84,1982
,,85,1982
,,86,1982
,,87,1982
,,88,1982
,,89,1982
,,90,1982
,,91,1982
,,92,1982
,,93,1982
,,94,1982
,,95,1982
,,96,1982
,,97,1982
,,98,1982
,,99,1982
Orlando Woolridge,CHI,0,1983
Phil Ford,NJN,1,1983
Wes Matthews,ATL,1,1983
Kevin Porter,WSB,1,1983
Oliver Robinson,SAS,1,1983
Gus Williams,SEA,1,1983
James Bailey,HOU,2,1983
Junior Bridgeman,MIL,2,1983
Joe Barry,GSW,2,1983
Alex English,DEN,2,1983
Moses Malone,PHI,2,1983
Rory Sparrow,NYK,2,1983
Linton Townes,POR,2,1983
Eddie Johnson,ATL,3,1983
Greg Kelser,SEA,3,1983
Jeff Lamp,POR,3,1983
Russ Schoene,PHI,3,1983
Joe Cooper,WSB,4,1983
Adrian Dantley,UTA,4,1983
Kyle Macy,PHO,4,1983
Sidney Moncrief,MIL,4,1983
Jim Paxson,POR,4,1983
Clint Richardson,PHI,4,1983
Al Wood,SDC,4,1983
John Bagley,CLE,5,1983
Mike Evans,DEN,5,1983
John Lucas,WSB,5,1983
Billy Paultz,SAS,5,1983
Freeman Williams,UTA,5,1983
Walter Davis,PHO,6,1983
Julius Erving,PHI,6,1983
Tom Henderson,HOU,6,1983
Trent Tucker,NYK,6,1983
J.J. Anderson,PHI,7,1983
Tiny Archibald,BOS,7,1983
Dudley Bradley,CHI,7,1983
Michael Brooks,SDC,7,1983
Hank McDowell,POR,7,1983
Billy McKinney,DEN,7,1983
Randy Smith,ATL,7,1983
Kelly Tripucka,DET,7,1983
Rory White,PHO,7,1983
Marc Iavaroni,PHI,8,1983
Eddie Johnson,KCK,8,1983
Marques Johnson,MIL,8,1983
Lonnie Shelton,SEA,8,1983
Vince Taylor,NYK,8,1983
Scott Wedman,CLE,8,1983
Kenny Dennard,KCK,9,1983
Lionel Hollins,SDC,9,1983
Larry Kenon,CLE,9,1983
Randy Smith,SDC,9,1983
Robert Smith,SDC,9,1983
Otis Birdsong,NJN,10,1983
Ron Brewer,CLE,10,1983
Don Buse,POR,10,1983
Maurice Cheeks,PHI,10,1983
Mike Dunleavy,SAS,10,1983
Joe Hassett,GSW,10,1983
Steve Hawes,SEA,10,1983
Norm Nixon,LAL,10,1983
J.J. Anderson,UTA,11,1983
Marty Byrnes,IND,11,1983
Keith Edmonson,ATL,11,1983
Johnny High,PHO,11,1983
Tracy Jackson,CHI,11,1983
Major Jones,HOU,11,1983
Bob McAdoo,LAL,11,1983
Cliff Robinson,CLE,11,1983
Isiah Thomas,DET,11,1983
Butch Carter,IND,12,1983
Darwin Cook,NJN,12,1983
Phil Ford,MIL,12,1983
Ronnie Lester,CHI,12,1983
Fat Lever,POR,12,1983
Carlos Terry,WSB,12,1983
John Douglas,SDC,13,1983
Leon Douglas,KCK,13,1983
Dwight Jones,LAL,13,1983
Lowes Moore,SDC,13,1983
Ed Sherod,NYK,13,1983
Larry Smith,GSW,13,1983
Jeff Taylor,HOU,13,1983
Bryan Warrick,WSB,13,1983
Franklin Edwards,PHI,14,1983
Rickey Green,UTA,14,1983
Kelvin Ransey,DAL,14,1983
Alvin Scott,PHO,14,1983
Jerry Sichting,IND,14,1983
Ricky Sobers,WSB,14,1983
Brook Steppe,KCK,14,1983
Darnell Valentine,POR,14,1983
Foots Walker,NJN,14,1983
Jim Brogan,SDC,15,1983
Lester Conner,GSW,15,1983
Charlie Criss,MIL,15,1983
Brad Davis,DAL,15,1983
Frank Johnson,WSB,15,1983
Vinnie Johnson,DET,15,1983
Eddie Jordan,LAL,15,1983
Ed Rains,SAS,15,1983
Johnny Davis,ATL,16,1983
Bob Lanier,MIL,16,1983
Ron Brewer,GSW,17,1983
Ernie Grunfeld,NYK,18,1983
Kenny Natt,UTA,18,1983
Lorenzo Romar,GSW,18,1983
,,19,1983
Dwight Anderson,DEN,20,1983
Gene Banks,SAS,20,1983
John Drew,UTA,20,1983
Bill Garnett,DAL,20,1983
Geoff Huston,CLE,20,1983
Maurice Lucas,PHO,20,1983
Ed Nealy,KCK,20,1983
Micheal Ray,NJN,20,1983
Phil Smith,SEA,20,1983
Terry Teagle,HOU,20,1983
Scott Wedman,BOS,20,1983
Michael Cooper,LAL,21,1983
Sleepy Floyd,NJN,21,1983
World B.,GSW,21,1983
Roger Phegley,SAS,21,1983
Jose Slaughter,IND,21,1983
Dominique Wilkins,ATL,21,1983
Rob Williams,DEN,21,1983
Rolando Blackman,DAL,22,1983
Joe Bryant,HOU,22,1983
Tom Chambers,SDC,22,1983
Don Collins,WSB,22,1983
Larry Drew,KCK,22,1983
Glen Gondrezick,DEN,22,1983
John Greig,SEA,22,1983
Rod Higgins,CHI,22,1983
Armond Hill,MIL,22,1983
Jeff Judkins,POR,22,1983
Larry Nance,PHO,22,1983
Ricky Pierce,DET,22,1983
Andrew Toney,PHI,22,1983
Jan van,NJN,22,1983
Mike Bratz,CHI,23,1983
Allan Bristow,DAL,23,1983
Rickey Brown,GSW,23,1983
Joe Cooper,SDC,23,1983
Charles Davis,WSB,23,1983
T.R. Dunn,DEN,23,1983
Bruce Flowers,CLE,23,1983
Hutch Jones,SDC,23,1983
Calvin Murphy,HOU,23,1983
Truck Robinson,NYK,23,1983
Danny Vranes,SEA,23,1983
Mark Aguirre,DAL,24,1983
Bill Hanzlik,DEN,24,1983
Spencer Haywood,WSB,24,1983
Craig Hodges,SDC,24,1983
Dennis Johnson,PHO,24,1983
George Johnson,IND,24,1983
Bobby Jones,PHI,24,1983
Scott May,DET,24,1983
Carl Nicks,CLE,24,1983
Audie Norris,POR,24,1983
Danny Schayes,UTA,24,1983
Reggie Theus,CHI,24,1983
Ray Tolbert,DET,24,1983
Bill Cartwright,NYK,25,1983
Earl Cureton,PHI,25,1983
Coby Dietrick,SAS,25,1983
Jim Johnstone,SAS,25,1983
Billy Knight,IND,25,1983
John Long,DET,25,1983
Paul Pressey,MIL,25,1983
Dave Robisch,DEN,25,1983
Corny Thompson,DAL,25,1983
Darren Tillis,CLE,25,1983
Ray Williams,KCK,25,1983
Rickey Williams,UTA,25,1983
Mike Davis,NYK,26,1983
Caldwell Jones,HOU,27,1983
Quinn Buckner,BOS,28,1983
,,29,1983
M.L. Carr,BOS,30,1983
Paul Griffin,SAS,30,1983
Bob Gross,SDC,30,1983
Bernard King,NYK,30,1983
Allen Leavell,HOU,30,1983
Kevin Loder,KCK,30,1983
Dave Magley,CLE,30,1983
Mark Radford,SEA,30,1983
Tree Rollins,ATL,30,1983
Rickey Brown,ATL,31,1983
Jerry Eaves,UTA,31,1983
Joe Kopicki,WSB,31,1983
Cedric Maxwell,BOS,31,1983
Mark McNamara,PHI,31,1983
Swen Nater,SDC,31,1983
Mike O'Koren,NJN,31,1983
Kurt Rambis,LAL,31,1983
Pete Verhoeven,POR,31,1983
Jay Vincent,DAL,31,1983
Fred Brown,SEA,32,1983
Chubby Cox,WSB,32,1983
Magic Johnson,LAL,32,1983
Reggie Johnson,KCK,32,1983
Lewis Lloyd,GSW,32,1983
Kevin McHale,BOS,32,1983
Charles Pittman,PHO,32,1983
Dan Roundfield,ATL,32,1983
Jim Smith,DET,32,1983
Bill Walton,SDC,32,1983
Herb Williams,IND,32,1983
Brian Winters,MIL,32,1983
Kareem Abdul-Jabbar,LAL,33,1983
Alvan Adams,PHO,33,1983
James Bailey,NJN,33,1983
Larry Bird,BOS,33,1983
Reggie Johnson,PHI,33,1983
Steve Johnson,KCK,33,1983
Clark Kellogg,IND,33,1983
Calvin Natt,POR,33,1983
Jawann Oldham,CHI,33,1983
Walker Russell,DET,33,1983
Ray Tolbert,SEA,33,1983
Elston Turner,DAL,33,1983
Jerome Whitehead,SDC,33,1983
Bob Wilkerson,CLE,33,1983
Sam Williams,GSW,33,1983
Sly Williams,NYK,33,1983
Bill Willoughby,SAS,33,1983
Billy Ray,WSB,34,1983
Kenny Carr,POR,34,1983
Terry Cummings,SDC,34,1983
Mike Glenn,ATL,34,1983
Dave Greenwood,CHI,34,1983
Clay Johnson,LAL,34,1983
Jim Johnstone,DET,34,1983
Mike Mitchell,SAS,34,1983
Danny Schayes,DEN,34,1983
Jim Spanarkel,DAL,34,1983
James Wilkes,DET,34,1983
Bill Willoughby,NJN,34,1983
Jim Zoet,DET,34,1983
Richard Anderson,SDC,35,1983
Billy Ray,LAL,35,1983
Charles Bradley,BOS,35,1983
Joe Cooper,LAL,35,1983
Kevin Grevey,WSB,35,1983
