Name,Party,Votes,Chart,Vote percentage,District
"LANYON, Darryl",ONP,5055,,18.20, Algester 
"PATTISON, Clinton",LNP,6025,,21.69, Algester 
"ENOCH, Leeanne",ALP,14424,,51.92, Algester 
"O'BRIEN, Patsy",GRN,2277,,8.20, Algester 
"MELLISH, Bart",ALP,12046,,37.52, Aspley 
"HANSEN, James",GRN,3037,,9.46, Aspley 
"ROSS, Steve",Other,235,,0.73, Aspley 
"SKILBECK, Neil",CR,458,,1.43, Aspley 
"BYRNE, Shaun",ONP,3081,,9.60, Aspley 
"DAVIS, Tracy",LNP,12757,,39.73, Aspley 
"KING, Zachary",Other,494,,1.54, Aspley 
"GRANT, Barry",Other,1425,,5.00, Bancroft 
"THOMAS, Kara",LNP,7631,,26.76, Bancroft 
"DEJUN, Simone",GRN,1772,,6.21, Bancroft 
"WHITING, Chris",ALP,12252,,42.96, Bancroft 
"BOULIS, Christopher",ONP,5438,,19.07, Bancroft 
"TROUT, Michael",LNP,8686,,30.63, Barron River 
"HODGETTS, Andrew",Other,826,,2.91, Barron River 
"BOYD, Cameron",GRN,3551,,12.52, Barron River 
"CRAWFORD, Craig",ALP,9497,,33.49, Barron River 
"TONKIN, Cheryl",Other,1039,,3.66, Barron River 
"SCHEBELLA, Andrew",ONP,4760,,16.78, Barron River 
"O'CONNOR, Sam",LNP,11405,,43.87, Bonney 
"NIGHTINGALE, Ron",Other,1095,,4.21, Bonney 
"HOLZBERGER, Rowan",ALP,9279,,35.69, Bonney 
"JAVANMARD, Amin",GRN,2540,,9.77, Bonney 
"BUEGGE, Robert",Other,1680,,6.46, Bonney 
"BALL, Brenden",ONP,5959,,21.40, Broadwater 
"KWON, Daniel",GRN,1908,,6.85, Broadwater 
"CRISAFULLI, David",LNP,13499,,48.48, Broadwater 
"FLORI, Peter",ALP,6477,,23.26, Broadwater 
"MICKELBERG, Brent",LNP,10911,,36.88, Buderim 
"MACKENZIE, Ken",ALP,6638,,22.43, Buderim 
"DICKSON, Steve",ONP,8452,,28.57, Buderim 
"BURTON, Tracy",GRN,3587,,12.12, Buderim 
"LE GOULLON, Bernadette",Other,642,,2.00, Bulimba 
"JELL, Angus",Other,471,,1.47, Bulimba 
"WARD, Fiona",LNP,11080,,34.54, Bulimba 
"FARMER, Di",ALP,15678,,48.87, Bulimba 
"JODELL, Felicity",GRN,4211,,13.13, Bulimba 
"CORBETT, Alan",Other,681,,2.29, Bundaberg 
"SMITH, Richard William",Other,248,,0.83, Bundaberg 
"GLASS, Richard",Other,313,,1.05, Bundaberg 
"BUCHANAN, Marianne",GRN,1050,,3.53, Bundaberg 
"DONALDSON, Leanne",ALP,10232,,34.36, Bundaberg 
"BATT, David",LNP,10578,,35.52, Bundaberg 
"TRUSCOTT, Jane",ONP,6681,,22.43, Bundaberg 
"HERBERT, Patrick",LNP,3949,,15.17, Bundamba 
"LIN, Shan-Ju",Other,1413,,5.43, Bundamba 
"JUDD, Trevor",Other,1338,,5.14, Bundamba 
"DUNCAN, Michelle",GRN,2842,,10.92, Bundamba 
"MILLER, Jo-Ann",ALP,13883,,53.35, Bundamba 
"PETERSEN, Patricia",Other,2599,,9.99, Bundamba 
"LAST, Dale",LNP,9274,,31.69, Burdekin 
"COX, Sam",ONP,8587,,29.34, Burdekin 
"BING, Mathew",GRN,880,,3.01, Burdekin 
"BRUNKER, Michael",ALP,10524,,35.96, Burdekin 
"HART, Michael",LNP,13717,,49.72, Burleigh 
"BURGOYNE, Peter",GRN,4434,,16.07, Burleigh 
"HISLOP, Gail",ALP,9435,,34.20, Burleigh 
"BENNETT, Stephen",LNP,12570,,42.45, Burnett 
"LYNCH, Ashley",ONP,7907,,26.70, Burnett 
"ROBERTS, Tim",GRN,1646,,5.56, Burnett 
"HARVEY, Lee",ALP,7491,,25.30, Burnett 
"HODGE, Ian",ONP,4157,,14.63, Cairns 
"MCDONALD, Aaron",GRN,2290,,8.06, Cairns 
"HEALY, Michael",ALP,8649,,30.45, Cairns 
"PYNE, Rob",Other,5440,,19.15, Cairns 
"MARINO, Sam",LNP,7871,,27.71, Cairns 
"BAKER, Jaiben",GRN,987,,3.41, Callide 
"RADEL, Robbie",KAP,3761,,13.01, Callide 
"BLACKWOOD, Darren",ALP,6404,,22.16, Callide 
"BOYCE, Colin",LNP,9663,,33.43, Callide 
"ANDERSON, Sandra",Other,682,,2.36, Callide 
"LOHSE, Sharon",ONP,7408,,25.63, Callide 
"JONES, Rod",ONP,6576,,22.61, Caloundra 
"HUNT, Jason",ALP,8348,,28.70, Caloundra 
"FINCH, Marcus",GRN,3098,,10.65, Caloundra 
"MCARDLE, Mark",LNP,11068,,38.05, Caloundra 
"TAYLOR, Paul",ONP,6049,,19.50, Capalaba 
"BROWN, Don",ALP,13292,,42.85, Capalaba 
"LEAFE, Cameron",LNP,7863,,25.35, Capalaba 
"LAVENDER, Jason",Other,1200,,3.87, Capalaba 
"SANDERSON, Joshua",GRN,2617,,8.44, Capalaba 
"MINNIKIN, Steve",LNP,14993,,49.83, Chatsworth 
"KEENE, Paul",ALP,11442,,38.03, Chatsworth 
"NELSON, Dave",GRN,3655,,12.15, Chatsworth 
"NICHOLLS, Tim",LNP,15359,,47.84, Clayfield 
"OGDEN, Claire",GRN,6190,,19.28, Clayfield 
"ANTHONY, Philip",ALP,10559,,32.89, Clayfield 
"HUYBREGTS, Brendon",ALP,5848,,18.04, Condamine 
"TURNBULL, Chris",GRN,1616,,4.98, Condamine 
"ASHMAN, Frank",ONP,7709,,23.78, Condamine 
"WEIR, Pat",LNP,13554,,41.81, Condamine 
"HILL, John",KAP,3694,,11.39, Condamine 
"JOHNSON, Penny",LNP,4475,,17.76, Cook 
"SACKLEY, Jen",ONP,4639,,18.41, Cook 
"MATHEWS, Brynn",GRN,1703,,6.76, Cook 
"RASMUSSEN, Gordon",KAP,4278,,16.98, Cook 
"LUI, Cynthia",ALP,10105,,40.10, Cook 
"CRANDON, Michael",LNP,11535,,39.35, Coomera 
"JOHNSON, Christopher",ALP,9158,,31.24, Coomera 
"PIGDON, Ronald",ONP,5998,,20.46, Coomera 
"KERWIN, Tayla",GRN,2620,,8.94, Coomera 
"WILTSHIRE, Robert",Other,960,,2.97, Cooper 
"JONES, Kate",ALP,13205,,40.83, Cooper 
"WALTERS, Reece",GRN,6666,,20.61, Cooper 
"SHEARMAN, Robert",LNP,11510,,35.59, Cooper 
"STUCKEY, Jann",LNP,13215,,47.69, Currumbin 
"SEMPLE, Andrew",Other,1375,,4.96, Currumbin 
"LEADER, Georgi",ALP,9874,,35.63, Currumbin 
"WYATT, David",GRN,3249,,11.72, Currumbin 
"MANDER, Tim",LNP,16756,,51.77, Everton 
"CLINCH, Bridget",GRN,3997,,12.35, Everton 
"GREENE, David",ALP,11616,,35.89, Everton 
"WORLD, Elizabeth",GRN,4820,,15.52, Ferny Grove 
"ELSTON, Nick",LNP,12446,,40.07, Ferny Grove 
"FURNER, Mark",ALP,12590,,40.53, Ferny Grove 
"FOO, Lisa",Other,1208,,3.89, Ferny Grove 
"CRAMP, Sid",LNP,12210,,46.11, Gaven 
"SCANLON, Meaghan",ALP,11406,,43.07, Gaven 
"SPAIN, Sally",GRN,2866,,10.82, Gaven 
"CONAGLEN, Chay",LNP,3113,,11.57, Gladstone 
"BUTCHER, Glenn",ALP,17307,,64.30, Gladstone 
"BAKER, Peta",GRN,998,,3.71, Gladstone 
"LOHSE, Amy",ONP,5497,,20.42, Gladstone 
"BELL-HENSELIN, Tracey",ONP,6525,,22.68, Glass House 
"POWELL, Andrew",LNP,10221,,35.52, Glass House 
"MUREAU, Sue",Other,765,,2.66, Glass House 
"HAMPSTEAD, Brent",ALP,7557,,26.26, Glass House 
"WEBER, Sue",GRN,3705,,12.88, Glass House 
"HUML, Victor",GRN,6498,,21.28, Greenslopes 
"KELLY, Joe",ALP,12930,,42.34, Greenslopes 
"KAYE, Ian",LNP,11110,,36.38, Greenslopes 
"WESTON, Norman",GRN,645,,3.06, Gregory 
"MILLAR, Lachlan",LNP,9556,,45.26, Gregory 
"HIGGINS, Mark",ONP,5113,,24.22, Gregory 
"CURRIE, Bruce",Other,1376,,6.52, Gregory 
"KERRIGAN, Dave",ALP,4422,,20.95, Gregory 
"DOBSON, Chelle",ONP,9444,,29.73, Gympie 
"MCWILLIAM, Tracey",ALP,7109,,22.38, Gympie 
"KENNEDY-PERRIMAN, Roxanne",GRN,1809,,5.69, Gympie 
"PERRETT, Tony",LNP,11829,,37.24, Gympie 
"REARDON, Donna",Other,1574,,4.96, Gympie 
